mes,ipca,nucleo,igpm,cambio_med,selic_fim,focus,dcambio
2004-01-01,0.76,0.73,0.88,2.8518333333333334,16.5,NA,NA
2004-02-01,0.61,0.48,0.69,2.930311111111111,16.5,0.7,2.7146536336956517
2004-03-01,0.47,0.76,1.13,2.9054565217391306,16.25,0.43,-0.8518070361189123
2004-04-01,0.37,0.57,1.21,2.905985,16,0.41,0.0181875102880813
2004-05-01,0.51,0.59,1.31,3.1004190476190474,16,0.4,6.476487560643918
2004-06-01,0.71,0.6,1.38,3.129147619047619,16,0.5,0.9223362274818347
2004-07-01,0.91,0.55,1.31,3.0367772727272726,16,0.9,-2.9963795830619144
2004-08-01,0.69,0.55,1.22,3.0029136363636364,16,0.59,-1.1213815983091457
2004-09-01,0.33,0.56,0.69,2.891147619047619,16.25,0.6,-3.7929506150500725
2004-10-01,0.44,0.6,0.39,2.852855,16.75,0.46,-1.3333276072034383
2004-11-01,0.69,0.62,0.82,2.78604,17.25,0.6,-2.3699014489097836
2004-12-01,0.86,0.67,0.74,2.7181608695652173,17.75,0.59,-2.4665732036685095
2005-01-01,0.58,0.66,0.39,2.6930238095238095,18.25,0.6,-0.9290845665330338
2005-02-01,0.59,0.6,0.3,2.597838888888889,18.75,0.65,-3.598475224350428
2005-03-01,0.61,0.62,0.85,2.7047363636363637,19.25,0.45,4.032454212650915
2005-04-01,0.87,0.7,0.86,2.57918,19.5,0.5,-4.753292597965486
2005-05-01,0.49,0.65,-0.22,2.4528142857142856,19.75,0.55,-5.023546559171632
2005-06-01,-0.02,0.49,-0.44,2.4135136363636365,19.75,0.37,-1.615242722678445
2005-07-01,0.25,0.45,-0.34,2.3735095238095236,19.75,0.5,-1.6713954578678525
2005-08-01,0.17,0.36,-0.65,2.3606304347826086,19.75,0.37,-0.5440954814284971
2005-09-01,0.35,0.51,-0.53,2.2944095238095237,19.5,0.33,-2.845319443838956
2005-10-01,0.75,0.58,0.6,2.25645,19,0.41,-1.668274047801599
2005-11-01,0.55,0.51,0.4,2.210835,18.5,0.37,-2.0422509604890893
2005-12-01,0.36,0.43,-0.01,2.285481818181818,18,0.37,3.320659124184089
2006-01-01,0.59,0.61,0.92,2.2738681818181816,17.25,0.4,-0.5094437356772508
2006-02-01,0.41,0.49,0.01,2.161922222222222,17.25,0.46,-5.048468246042059
2006-03-01,0.43,0.45,-0.23,2.1519608695652175,16.5,0.3,-0.46182848028806234
2006-04-01,0.21,0.41,-0.42,2.129288888888889,15.75,0.35,-1.0591389849071486
2006-05-01,0.1,0.47,0.38,2.1781,15.75,0.24,2.266486814143509
2006-06-01,-0.21,0.3,0.75,2.2482904761904763,15.25,0.23,3.171720193203287
2006-07-01,0.19,0.29,0.18,2.1892809523809524,14.75,0.3,-2.659698140164224
2006-08-01,0.05,0.23,0.37,2.155882608695652,14.25,0.31,-1.537295476200029
2006-09-01,0.21,0.32,0.29,2.168745,14.25,0.3,0.5948456327434681
2006-10-01,0.33,0.32,0.47,2.1482809523809525,13.75,0.3,-0.9480693943623386
2006-11-01,0.31,0.27,0.75,2.1579,13.25,0.34,0.44675612680362686
2006-12-01,0.48,0.38,0.32,2.14992,13.25,0.45,-0.37048944143206475
2007-01-01,0.44,0.39,0.5,2.1384772727272727,13,0.4,-0.5336611186812501
2007-02-01,0.44,0.24,0.27,2.09625,13,0.48,-1.9943986802868463
2007-03-01,0.37,0.29,0.34,2.088677272727273,12.75,0.29,-0.3619052396641509
2007-04-01,0.25,0.29,0.04,2.032035,12.5,0.3,-2.749322778129426
2007-05-01,0.28,0.3,0.04,1.9816136363636363,12.5,0.2,-2.5126273316470105
2007-06-01,0.28,0.34,0.26,1.93187,12,0.1,-2.54230349191531
2007-07-01,0.24,0.2,0.28,1.8828181818181817,11.5,0.2,-2.5718758446079404
2007-08-01,0.47,0.4,0.98,1.966013043478261,11.5,0.24,4.323796893339704
2007-09-01,0.18,0.34,1.29,1.899578947368421,11.25,0.27,-3.437540126322647
2007-10-01,0.3,0.43,1.05,1.8010409090909092,11.25,0.29,-5.326747437649315
2007-11-01,0.38,0.36,0.69,1.769925,11.25,0.28,-1.7427607782694698
2007-12-01,0.74,0.4,1.76,1.785985,11.25,0.35,0.9032910956197404
2008-01-01,0.54,0.37,1.09,1.774259090909091,11.25,0.48,-0.6587161549082676
2008-02-01,0.49,0.27,0.53,1.7277421052631579,11.25,0.52,-2.6567507609342456
2008-03-01,0.48,0.39,0.74,1.70758,11.25,0.35,-1.1738251116129694
2008-04-01,0.55,0.48,0.69,1.6889285714285713,11.75,0.33,-1.0982817007688106
2008-05-01,0.79,0.5,1.61,1.6605349999999999,11.75,0.35,-1.695450687949629
2008-06-01,0.74,0.49,1.98,1.6188571428571428,12.25,0.41,-2.5419406688127366
2008-07-01,0.53,0.36,1.76,1.591413043478261,13,0.55,-1.709810475660617
2008-08-01,0.28,0.36,-0.32,1.6123142857142858,13,0.45,1.304826324862085
2008-09-01,0.26,0.45,0.11,1.799568181818182,13.75,0.35,10.987614572688292
2008-10-01,0.45,0.37,0.98,2.1728521739130433,13.75,0.36,18.849393325638964
2008-11-01,0.36,0.35,0.38,2.26629,13.75,0.5,4.210346284627963
2008-12-01,0.28,0.33,-0.13,2.3944136363636366,13.75,0.59,5.4994239412375805
2009-01-01,0.48,0.42,-0.44,2.307442857142857,12.75,0.44,-3.6998449527087307
2009-02-01,0.55,0.29,0.26,2.312672222222222,12.75,0.53,0.22637389860195034
2009-03-01,0.2,0.35,-0.74,2.3138363636363635,11.25,0.35,0.05032483641200791
2009-04-01,0.48,0.35,-0.15,2.20585,10.25,0.34,-4.779398832402593
2009-05-01,0.47,0.44,-0.07,2.060905,10.25,0.31,-6.796771542903435
2009-06-01,0.36,0.38,-0.1,1.9575571428571428,9.25,0.25,-5.144786650681166
2009-07-01,0.24,0.3,-0.43,1.9327521739130435,8.75,0.35,-1.2752356215111726
2009-08-01,0.15,0.25,-0.36,1.8451809523809524,8.75,0.3,-4.6367634140480956
2009-09-01,0.24,0.39,0.42,1.819795238095238,8.75,0.23,-1.385336163619677
2009-10-01,0.28,0.31,0.05,1.7384190476190475,8.75,0.3,-4.574788133534968
2009-11-01,0.41,0.39,0.1,1.72616,8.75,0.35,-0.7076818633948045
2009-12-01,0.37,0.42,-0.26,1.7503136363636365,8.75,0.37,1.3895704407525633
2010-01-01,0.75,0.48,0.63,1.77982,8.75,0.53,1.6717242938634413
2010-02-01,0.78,0.39,1.18,1.8416333333333332,8.75,0.6,3.4140623429244066
2010-03-01,0.52,0.46,0.94,1.7858434782608696,8.75,0.35,-3.0762018562345284
2010-04-01,0.57,0.5,0.77,1.75657,9.5,0.4,-1.652779655400971
2010-05-01,0.43,0.62,1.19,1.8131904761904762,9.5,0.39,3.172494367566847
2010-06-01,0,0.4,0.85,1.8065285714285715,10.25,0.3,-0.368090020033196
2010-07-01,0.01,0.24,0.15,1.7696363636363637,10.75,0.25,-2.06330061774469
2010-08-01,0.04,0.33,0.77,1.7595636363636364,10.75,0.31,-0.570823678085508
2010-09-01,0.45,0.43,1.15,1.7187095238095238,10.75,0.36,-2.3492112053182135
2010-10-01,0.75,0.55,1.01,1.6835,10.75,0.47,-2.0698772752901995
2010-11-01,0.83,0.56,1.45,1.71333,10.75,0.5,1.7563885652787548
2010-12-01,0.63,0.52,0.69,1.6934130434782608,10.75,0.55,-1.1692800537161152
2011-01-01,0.83,0.54,0.79,1.6749142857142858,11.25,0.6,-1.0984053474845545
2011-02-01,0.8,0.4,1,1.66799,11.25,0.8,-0.4142682545026144
2011-03-01,0.79,0.49,0.62,1.6591,11.75,0.49,-0.5344022047574226
2011-04-01,0.77,0.6,0.45,1.5864473684210527,12,0.55,-4.47781298242842
2011-05-01,0.47,0.64,0.43,1.613490909090909,12,0.43,1.6902941372165303
2011-06-01,0.15,0.54,-0.18,1.5870428571428572,12.25,0.1,-1.6527651904438723
2011-07-01,0.16,0.41,-0.12,1.5639380952380952,12.5,0.15,-1.4665386020657256
2011-08-01,0.37,0.55,0.44,1.5970086956521738,12.5,0.28,2.092525392006234
2011-09-01,0.53,0.58,0.65,1.7497761904761904,12,0.39,9.135557439016868
2011-10-01,0.43,0.59,0.53,1.77257,11.5,0.48,1.2942582286753934
2011-11-01,0.52,0.55,0.5,1.79049,11.5,0.5,1.0058854521697302
2011-12-01,0.5,0.58,-0.12,1.8368863636363637,11,0.51,2.558261915938409
2012-01-01,0.56,0.47,0.25,1.7896818181818182,10.5,0.59,-2.6034095721377604
2012-02-01,0.45,0.41,-0.06,1.7183947368421053,10.5,0.56,-4.064728634358783
2012-03-01,0.21,0.28,0.43,1.795309090909091,9.75,0.45,4.378664010577127
2012-04-01,0.64,0.51,0.85,1.854835,9,0.5,3.2618540707328614
2012-05-01,0.36,0.45,1.02,1.9859909090909091,8.5,0.47,6.832224479932103
2012-06-01,0.08,0.39,0.66,2.049195,8.5,0.25,3.1329044987877697
2012-07-01,0.43,0.4,1.34,2.0287363636363636,8,0.19,-1.0033914838684876
2012-08-01,0.41,0.5,1.43,2.0294434782608697,7.5,0.32,0.03484885634500445
2012-09-01,0.57,0.49,0.97,2.028078947368421,7.5,0.41,-0.06725931742338487
2012-10-01,0.59,0.54,0.02,2.0298454545454545,7.25,0.5,0.08706457359276554
2012-11-01,0.6,0.49,-0.03,2.06775,7.25,0.52,1.8501400200062634
2012-12-01,0.79,0.56,0.68,2.077835,7.25,0.52,0.48654266621727116
2013-01-01,0.86,0.73,0.34,2.0310772727272726,7.25,0.75,-2.2760157736853692
2013-02-01,0.6,0.53,0.29,1.97325,7.25,0.4,-2.8884398908823106
2013-03-01,0.47,0.47,0.21,1.98284,7.25,0.43,0.48482308464563584
2013-04-01,0.55,0.53,0.15,2.0022136363636363,7.5,0.4,0.9723226217281611
2013-05-01,0.37,0.52,0,2.034842857142857,8,0.32,1.6165209165601713
2013-06-01,0.26,0.36,0.75,2.172955,8,0.3,6.566939652649706
2013-07-01,0.03,0.29,0.26,2.2521695652173914,8.5,0.25,3.5806010470282312
2013-08-01,0.24,0.42,0.15,2.342190909090909,9,0.29,3.9192774431125565
2013-09-01,0.35,0.43,1.5,2.270509523809524,9,0.46,-3.1082511129662205
2013-10-01,0.57,0.58,0.86,2.1886478260869566,9.5,0.56,-3.672034400509172
2013-11-01,0.54,0.45,0.29,2.29535,10,0.67,4.760141520249272
2013-12-01,0.92,0.58,0.6,2.345485714285714,10,0.72,2.160717074608942
2014-01-01,0.55,0.55,0.48,2.382209090909091,10.5,0.73,1.553573856207302
2014-02-01,0.69,0.51,0.38,2.38368,10.75,0.64,0.061726536625383854
2014-03-01,0.92,0.59,1.67,2.3260894736842106,10.75,0.58,-2.445699188893491
2014-04-01,0.67,0.56,0.78,2.23277,11,0.63,-4.094555301155722
2014-05-01,0.46,0.64,-0.13,2.2208809523809525,11,0.49,-0.5339024538643322
2014-06-01,0.4,0.56,-0.74,2.23547,11,0.34,0.6547554218616858
2014-07-01,0.01,0.35,-0.61,2.2246478260869567,11,0.24,-0.4852874105074956
2014-08-01,0.25,0.4,-0.27,2.2680285714285713,11,0.25,1.9312360737620438
2014-09-01,0.57,0.54,0.2,2.332868181818182,11,0.39,2.81875064470698
2014-10-01,0.42,0.51,0.28,2.4482608695652175,11.25,0.49,4.82794334725064
2014-11-01,0.51,0.38,0.98,2.548365,11.25,0.58,4.007405372082939
2014-12-01,0.78,0.49,0.62,2.6393636363636364,11.75,0.76,3.508586421160498
2015-01-01,1.24,0.74,0.76,2.6342285714285714,12.25,1,-0.19474644059214175
2015-02-01,1.22,0.77,0.27,2.81645,12.25,1.05,6.688684980142757
2015-03-01,1.32,0.76,0.98,3.1394772727272726,12.75,1,10.857908574283236
2015-04-01,0.71,0.72,1.17,3.04322,13.25,0.65,-3.114014703136947
2015-05-01,0.74,0.75,0.41,3.061715,13.25,0.52,0.6059051106192204
2015-06-01,0.79,0.72,0.67,3.111738095238095,13.75,0.4,1.6206226663690426
2015-07-01,0.62,0.67,0.69,3.2231434782608694,14.25,0.45,3.517567568643676
2015-08-01,0.22,0.56,0.28,3.514304761904762,14.25,0.3,8.648459508941553
2015-09-01,0.54,0.64,0.95,3.906457142857143,14.25,0.38,10.578914774552238
2015-10-01,0.82,0.66,1.89,3.8801380952380953,14.25,0.54,-0.6760117110010455
2015-11-01,1.01,0.75,1.52,3.77646,14.25,0.6,-2.708368166057662
2015-12-01,0.96,0.79,0.49,3.8711363636363636,14.25,0.85,2.4761035056773517
2016-01-01,1.27,0.84,1.14,4.052350000000001,14.25,0.88,4.574886179965509
